,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
19,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,900,9475,,,0
38,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,1800,10371,,,0
77,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,2700,10759,,,0
106,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,3600,11245,,,0
128,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,4500,11471,,,0
161,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,5400,11606,,,0
185,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,6300,11684,,,0
219,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,7200,11835,,,0
244,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,8100,11910,,,0
274,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,9000,11966,,,0
308,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,9900,12030,,,0
348,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,10800,12161,,,0
361,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,11700,12198,,,0
401,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,12600,12219,,,0
420,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,13500,12292,,,0
471,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,14400,12394,,,0
492,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,15300,12631,,,0
531,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,16200,12717,,,0
550,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,17100,12778,,,0
584,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,18000,12786,,,0
608,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,18900,12798,,,0
651,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,19800,12812,,,0
677,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,20700,12819,,,0
706,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,21600,12820,,,0
728,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,22500,12868,,,0
764,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,23400,12950,,,0
783,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-3n,sileo_aflpp_corpus_del_force_240,binutils_fuzz_readelf,2023-11-25 00:31:19.610438,2023-11-26 00:41:35.221672,431,24300,12989,,,0
