,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
6,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-2n,sileo_aflpp_timeback_plain_purge,binutils_fuzz_readelf,2023-11-23 22:48:15.018582,2023-11-24 22:58:30.257020,401,900,3768,,,0
31,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-2n,sileo_aflpp_timeback_plain_purge,binutils_fuzz_readelf,2023-11-23 22:48:15.018582,2023-11-24 22:58:30.257020,401,1800,3869,,,0
60,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-2n,sileo_aflpp_timeback_plain_purge,binutils_fuzz_readelf,2023-11-23 22:48:15.018582,2023-11-24 22:58:30.257020,401,2700,3963,,,0
91,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-2n,sileo_aflpp_timeback_plain_purge,binutils_fuzz_readelf,2023-11-23 22:48:15.018582,2023-11-24 22:58:30.257020,401,3600,4176,,,0
143,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-2n,sileo_aflpp_timeback_plain_purge,binutils_fuzz_readelf,2023-11-23 22:48:15.018582,2023-11-24 22:58:30.257020,401,4500,10438,,,0
173,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-2n,sileo_aflpp_timeback_plain_purge,binutils_fuzz_readelf,2023-11-23 22:48:15.018582,2023-11-24 22:58:30.257020,401,5400,10812,,,0
199,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-2n,sileo_aflpp_timeback_plain_purge,binutils_fuzz_readelf,2023-11-23 22:48:15.018582,2023-11-24 22:58:30.257020,401,6300,11252,,,0
229,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-2n,sileo_aflpp_timeback_plain_purge,binutils_fuzz_readelf,2023-11-23 22:48:15.018582,2023-11-24 22:58:30.257020,401,7200,11332,,,0
258,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-2n,sileo_aflpp_timeback_plain_purge,binutils_fuzz_readelf,2023-11-23 22:48:15.018582,2023-11-24 22:58:30.257020,401,8100,11761,,,0
279,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-2n,sileo_aflpp_timeback_plain_purge,binutils_fuzz_readelf,2023-11-23 22:48:15.018582,2023-11-24 22:58:30.257020,401,9000,11940,,,0
