,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
24,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-freetype-3n,sileo_aflpp_corpus_del_force_240,freetype2_ftfuzzer,2023-11-28 00:01:27.946922,2023-11-29 00:11:44.562705,461,0,2834,,,0
30,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-freetype-3n,sileo_aflpp_corpus_del_force_240,freetype2_ftfuzzer,2023-11-28 00:01:27.946922,2023-11-29 00:11:44.562705,461,900,6599,,,0
78,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-freetype-3n,sileo_aflpp_corpus_del_force_240,freetype2_ftfuzzer,2023-11-28 00:01:27.946922,2023-11-29 00:11:44.562705,461,1800,7683,,,0
105,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-freetype-3n,sileo_aflpp_corpus_del_force_240,freetype2_ftfuzzer,2023-11-28 00:01:27.946922,2023-11-29 00:11:44.562705,461,2700,8191,,,0
125,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-freetype-3n,sileo_aflpp_corpus_del_force_240,freetype2_ftfuzzer,2023-11-28 00:01:27.946922,2023-11-29 00:11:44.562705,461,3600,8488,,,0
159,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-freetype-3n,sileo_aflpp_corpus_del_force_240,freetype2_ftfuzzer,2023-11-28 00:01:27.946922,2023-11-29 00:11:44.562705,461,4500,9095,,,0
183,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-freetype-3n,sileo_aflpp_corpus_del_force_240,freetype2_ftfuzzer,2023-11-28 00:01:27.946922,2023-11-29 00:11:44.562705,461,5400,9314,,,0
225,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-freetype-3n,sileo_aflpp_corpus_del_force_240,freetype2_ftfuzzer,2023-11-28 00:01:27.946922,2023-11-29 00:11:44.562705,461,6300,9682,,,0
262,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-freetype-3n,sileo_aflpp_corpus_del_force_240,freetype2_ftfuzzer,2023-11-28 00:01:27.946922,2023-11-29 00:11:44.562705,461,7200,9983,,,0
271,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-freetype-3n,sileo_aflpp_corpus_del_force_240,freetype2_ftfuzzer,2023-11-28 00:01:27.946922,2023-11-29 00:11:44.562705,461,8100,10217,,,0
