,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
22,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,0,64,,,0
48,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,900,8342,,,0
65,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,1800,8409,,,0
92,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,2700,8465,,,0
125,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,3600,8557,,,0
159,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,4500,11531,,,0
198,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,5400,11912,,,0
213,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,6300,11939,,,0
246,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,7200,11962,,,0
270,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,8100,12114,,,0
306,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,9000,12148,,,0
346,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,9900,12176,,,0
379,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,10800,12247,,,0
394,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,11700,12312,,,0
430,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,12600,12500,,,0
461,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,13500,12519,,,0
501,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,14400,12539,,,0
537,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,15300,12545,,,0
562,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,16200,13180,,,0
578,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,17100,13240,,,0
609,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,18000,13372,,,0
638,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,18900,13584,,,0
672,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,19800,13620,,,0
706,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,20700,13627,,,0
727,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,21600,13634,,,0
758,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libxml2-3n,sileo_aflpp_corpus_del_force_240,libxml2_xml,2023-11-24 19:37:06.552903,2023-11-25 19:47:21.562491,471,22500,13644,,,0
